============================= test session starts =============================
platform win32 -- Python 3.11.4, pytest-7.4.3, pluggy-1.6.0 -- C:\Python311\python.exe
cachedir: .pytest_cache
rootdir: c:\Users\DELL\WorkBuddy\Claw\yas_zabbix
configfile: pytest.ini
plugins: asyncio-0.23.5, cov-4.1.0, anyio-4.13.0
asyncio: mode=Mode.STRICT
collecting ... collected 190 items

tests/test_bulk.py::TestBulkScript::test_bulk_module_imports PASSED      [  0%]
tests/test_bulk.py::TestBulkScript::test_bulk_metrics_count PASSED       [  1%]
tests/test_bulk.py::TestBulkScript::test_bulk_includes_key_metrics PASSED [  1%]
tests/test_bulk.py::TestBulkScript::test_bulk_no_duplicates PASSED       [  2%]
tests/test_bulk.py::TestBulkMainMocked::test_bulk_main_with_mock_conn PASSED [  2%]
tests/test_bulk.py::TestBulkMetricCoverage::test_bulk_covers_all_dispatched_keys FAILED [  3%]
tests/test_monitor_cli.py::TestArgParsing::test_required_args_present FAILED [  3%]
tests/test_monitor_cli.py::TestArgParsing::test_minimal_valid_args PASSED [  4%]
tests/test_monitor_cli.py::TestArgParsing::test_all_args PASSED          [  4%]
tests/test_monitor_cli.py::TestLoadConfig::test_load_config_file_not_found PASSED [  5%]
tests/test_monitor_cli.py::TestLoadConfig::test_load_config_valid PASSED [  5%]
tests/test_monitor_cli.py::TestLoadConfig::test_load_config_no_yashandb_section PASSED [  6%]
tests/test_monitor_cli.py::TestMetricHelp::test_help_contains_native_metrics PASSED [  6%]
tests/test_monitor_cli.py::TestMetricHelp::test_help_contains_datadog_metrics PASSED [  7%]
tests/test_monitor_cli.py::TestMetricHelp::test_help_contains_na_section PASSED [  7%]
tests/test_monitor_cli.py::TestDispatchCompleteness::test_all_documented_metrics_in_dispatch FAILED [  8%]
tests/test_monitor_integration.py::TestLiveDBBasic::test_db_status_ok SKIPPED [  8%]
tests/test_monitor_integration.py::TestLiveDBBasic::test_db_version_is_string SKIPPED [  9%]
tests/test_monitor_integration.py::TestLiveDBBasic::test_db_uptime_is_positive SKIPPED [ 10%]
tests/test_monitor_integration.py::TestLiveDBMetrics::test_metric_executes_without_error[yashandb.db.status] SKIPPED [ 10%]
